Network,Contract,Method,Min Gas,Max Gas,Avg Gas,L2 Avg (Exec),L1 Avg (Bytes/Data),Calls,USD Avg,Block %,L1 Gas Price,L1 Blob Base Fee,L2 Gas Price,Token Price,Currency
Linea,SimpleAuction,deployment,-,-,412278,,,,,0.00000001,1.4,0,0,3720,ETH
Linea,SimpleStaking,exit,-,-,153355,,,1,0,,,0,0,3720,ETH
Linea,SimpleStaking,getReward,67287,120587,77424,,,46,0,,,0,0,3720,ETH
Linea,SimpleStaking,stake,126368,143468,133372,,,48,0,,,0,0,3720,ETH
Linea,SimpleStaking,withdraw,72768,81168,80985,,,46,0,,,0,0,3720,ETH
Linea,SimpleStaking,deployment,-,-,772065,,,,,0.00000002,2.6,0,0,3720,ETH
Optimism,AdvancedToken,blacklist,47341,47353,47352,47352,2223,47,0.0001851,,,0.713624301,0,0.001,3720,ETH
Optimism,AdvancedToken,pause,-,-,27743,27743,1840,47,0.0001104,,,0.713624301,0,0.001,3720,ETH
Optimism,AdvancedToken,unblacklist,25415,25427,25426,25426,2223,46,0.00010313,,,0.713624301,0,0.001,3720,ETH
Optimism,AdvancedToken,unpause,-,-,27721,27721,1840,46,0.00011032,,,0.713624301,0,0.001,3720,ETH
Optimism,AdvancedToken,deployment,-,-,973081,973081,74884,,0.0039099,3.2,0.713624301,0,0.001,3720,ETH
Optimism,BasicToken,approve,26506,46406,34786,34786,2421,46,0.00013884,,,0.713624301,0,0.001,3720,ETH
Optimism,BasicToken,burn,33808,33832,33809,33809,2057,46,0.00013387,,,0.713624301,0,0.001,3720,ETH
Optimism,BasicToken,mint,36693,53817,40750,40750,2445,93,0.00016123,,,0.713624301,0,0.001,3720,ETH
Optimism,BasicToken,transfer,34486,51610,35230,35230,2429,46,0.00014053,,,0.713624301,0,0.001,3720,ETH
Optimism,BasicToken,deployment,-,-,768883,768883,57624,,0.0030838,2.6,0.713624301,0,0.001,3720,ETH
Optimism,MultiSigWallet,confirmTransaction,57501,74613,63417,63417,1995,139,0.00024433,,,0.713624301,0,0.001,3720,ETH
Optimism,MultiSigWallet,executeTransaction,70275,70287,70286,70286,1995,46,0.00027002,,,0.713624301,0,0.001,3720,ETH
Optimism,MultiSigWallet,revokeConfirmation,32296,35581,35509,35509,1995,46,0.000014,,,0.713624301,0,0.001,3720,ETH
Optimism,MultiSigWallet,submitTransaction,81380,101352,85260,85260,2706,48,0.00032858,,,0.713624301,0,0.001,3720,ETH
Optimism,MultiSigWallet,deployment,-,-,1262755,1262755,89380,,0.00504551,4.2,0.713624301,0,0.001,3720,ETH
Optimism,MyNFT,approve,48655,48679,48678,48678,2379,46,0.00019063,,,0.713624301,0,0.001,3720,ETH
Optimism,MyNFT,batchMint,-,-,199119,199119,2380,1,0.00075307,,,0.713624301,0,0.001,3720,ETH
Optimism,MyNFT,safeMint,61562,95762,71491,71491,2224,93,0.00027535,,,0.713624301,0,0.001,3720,ETH
Optimism,MyNFT,transferFrom,38426,55526,39507,39507,2735,47,0.00015763,,,0.713624301,0,0.001,3720,ETH
Optimism,MyNFT,deployment,-,-,1186392,1186392,88252,,0.00475592,4,0.713624301,0,0.001,3720,ETH
Optimism,SimpleAuction,auctionEnd,-,-,62830,62830,1828,2,0.00024153,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleAuction,bid,40267,69074,48623,48623,1929,95,0.00018879,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleAuction,withdraw,23509,28560,25642,25642,1808,45,0.00010243,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleAuction,deployment,-,-,412278,412278,25804,,0.00163505,1.4,0.713624301,0,0.001,3720,ETH
Optimism,SimpleStaking,exit,-,-,153355,153355,1828,1,0.00057997,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleStaking,getReward,67287,120587,77424,77424,1809,46,0.00029603,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleStaking,stake,126368,143468,133372,133372,2037,48,0.00050602,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleStaking,withdraw,72768,81168,80985,80985,2037,46,0.00031017,,,0.713624301,0,0.001,3720,ETH
Optimism,SimpleStaking,deployment,-,-,772065,772065,49000,,0.00306438,2.6,0.713624301,0,0.001,3720,ETH
Polygon,AdvancedToken,blacklist,47341,47353,47352,,,47,0.00031963,,,27,0,0.25,POL
Polygon,AdvancedToken,pause,-,-,27743,,,47,0.00018727,,,27,0,0.25,POL
Polygon,AdvancedToken,unblacklist,25415,25427,25426,,,46,0.00017163,,,27,0,0.25,POL
Polygon,AdvancedToken,unpause,-,-,27721,,,46,0.00018712,,,27,0,0.25,POL
Polygon,AdvancedToken,deployment,-,-,973081,,,,,0.0065683,3.2,27,0,0.25,POL
Polygon,BasicToken,approve,26506,46406,34786,,,46,0.00023481,,,27,0,0.25,POL
Polygon,BasicToken,burn,33808,33832,33809,,,46,0.00022821,,,27,0,0.25,POL
Polygon,BasicToken,mint,36693,53817,40750,,,93,0.00027506,,,27,0,0.25,POL
Polygon,BasicToken,transfer,34486,51610,35230,,,46,0.0002378,,,27,0,0.25,POL
Polygon,BasicToken,deployment,-,-,768883,,,,,0.00518996,2.6,27,0,0.25,POL
Polygon,MultiSigWallet,confirmTransaction,57501,74613,63417,,,139,0.00042806,,,27,0,0.25,POL
Polygon,MultiSigWallet,executeTransaction,70275,70287,70286,,,46,0.00047443,,,27,0,0.25,POL
Polygon,MultiSigWallet,revokeConfirmation,32296,35581,35509,,,46,0.00023969,,,27,0,0.25,POL
Polygon,MultiSigWallet,submitTransaction,81380,101352,85260,,,48,0.00057551,,,27,0,0.25,POL
Polygon,MultiSigWallet,deployment,-,-,1262755,,,,,0.0085236,4.2,27,0,0.25,POL
Polygon,MyNFT,approve,48655,48679,48678,,,46,0.00032858,,,27,0,0.25,POL
Polygon,MyNFT,batchMint,-,-,199119,,,1,0.00134405,,,27,0,0.25,POL
Polygon,MyNFT,safeMint,61562,95762,71491,,,93,0.00048256,,,27,0,0.25,POL
Polygon,MyNFT,transferFrom,38426,55526,39507,,,47,0.00026667,,,27,0,0.25,POL
Polygon,MyNFT,deployment,-,-,1186392,,,,,0.00800815,4,27,0,0.25,POL
Polygon,SimpleAuction,auctionEnd,-,-,62830,,,2,0.0004241,,,27,0,0.25,POL
Polygon,SimpleAuction,bid,40267,69074,48623,,,95,0.00032821,,,27,0,0.25,POL
Polygon,SimpleAuction,withdraw,23509,28560,25642,,,45,0.00017308,,,27,0,0.25,POL
Polygon,SimpleAuction,deployment,-,-,412278,,,,,0.00278288,1.4,27,0,0.25,POL
Polygon,SimpleStaking,exit,-,-,153355,,,1,0.00103515,,,27,0,0.25,POL
Polygon,SimpleStaking,getReward,67287,120587,77424,,,46,0.00052261,,,27,0,0.25,POL
Polygon,SimpleStaking,stake,126368,143468,133372,,,48,0.00090026,,,27,0,0.25,POL
Polygon,SimpleStaking,withdraw,72768,81168,80985,,,46,0.00054665,,,27,0,0.25,POL
Polygon,SimpleStaking,deployment,-,-,772065,,,,,0.00521144,2.6,27,0,0.25,POL
Scroll,AdvancedToken,blacklist,47341,47353,47352,,,47,0.00044037,,,0,0.0025,3720,ETH
Scroll,AdvancedToken,pause,-,-,27743,,,47,0.00025801,,,0,0.0025,3720,ETH
Scroll,AdvancedToken,unblacklist,25415,25427,25426,,,46,0.00023646,,,0,0.0025,3720,ETH
Scroll,AdvancedToken,unpause,-,-,27721,,,46,0.00025781,,,0,0.0025,3720,ETH
Scroll,AdvancedToken,deployment,-,-,973081,,,,,0.00904965,3.2,0,0.0025,3720,ETH
Scroll,BasicToken,approve,26506,46406,34786,,,46,0.00032351,,,0,0.0025,3720,ETH
Scroll,BasicToken,burn,33808,33832,33809,,,46,0.00031442,,,0,0.0025,3720,ETH
Scroll,BasicToken,mint,36693,53817,40750,,,93,0.00037898,,,0,0.0025,3720,ETH
Scroll,BasicToken,transfer,34486,51610,35230,,,46,0.00032764,,,0,0.0025,3720,ETH
Scroll,BasicToken,deployment,-,-,768883,,,,,0.00715061,2.6,0,0.0025,3720,ETH
Scroll,MultiSigWallet,confirmTransaction,57501,74613,63417,,,139,0.00058978,,,0,0.0025,3720,ETH
Scroll,MultiSigWallet,executeTransaction,70275,70287,70286,,,46,0.00065366,,,0,0.0025,3720,ETH
Scroll,MultiSigWallet,revokeConfirmation,32296,35581,35509,,,46,0.00033023,,,0,0.0025,3720,ETH
Scroll,MultiSigWallet,submitTransaction,81380,101352,85260,,,48,0.00079292,,,0,0.0025,3720,ETH
Scroll,MultiSigWallet,deployment,-,-,1262755,,,,,0.01174362,4.2,0,0.0025,3720,ETH
Scroll,MyNFT,approve,48655,48679,48678,,,46,0.00045271,,,0,0.0025,3720,ETH
Scroll,MyNFT,batchMint,-,-,199119,,,1,0.00185181,,,0,0.0025,3720,ETH
Scroll,MyNFT,safeMint,61562,95762,71491,,,93,0.00066487,,,0,0.0025,3720,ETH
Scroll,MyNFT,transferFrom,38426,55526,39507,,,47,0.00036742,,,0,0.0025,3720,ETH
Scroll,MyNFT,deployment,-,-,1186392,,,,,0.01103345,4,0,0.0025,3720,ETH
Scroll,SimpleAuction,auctionEnd,-,-,62830,,,2,0.00058432,,,0,0.0025,3720,ETH
Scroll,SimpleAuction,bid,40267,69074,48623,,,95,0.00045219,,,0,0.0025,3720,ETH
Scroll,SimpleAuction,withdraw,23509,28560,25642,,,45,0.00023847,,,0,0.0025,3720,ETH
Scroll,SimpleAuction,deployment,-,-,412278,,,,,0.00383419,1.4,0,0.0025,3720,ETH
